District_Name,Taluk_Name,Month,Year,Commodity_Name,No_of_Active_FPS,No_of_Ration_Cards,No_of_Ration_Cards_Taken,No_of_Members_Taken,No_of_Members_Taken_eKYC,Lifting_Percentage,Quantity_Allotted_NFSA_Qtls,Quantity_Allotted_Annabhagya_Qtls
MYSURU,HEGGADADEVANKOTE,June,2025,Rice,80,54258,45812,150585,147390,84.43,5032.71,0.0
MYSURU,HUNSUR,June,2025,Rice,115,89371,68493,224359,218701,76.64,7438.14,0.0
MYSURU,KRISHNARAJANAGARA,June,2025,Rice,42,39857,29142,90368,88951,73.12,3009.54,0.0
MYSURU,MYSURU,June,2025,Rice,329,300471,183021,650047,641887,60.91,20968.31,0.0
MYSURU,NANJANGUD,June,2025,Rice,133,113508,96519,308226,304298,85.03,9798.74,0.0
MYSURU,PIRIYAPATNA,June,2025,Rice,91,71463,59370,189365,187048,83.08,6637.34,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,June,2025,Rice,133,86678,69693,230414,226827,80.4,7530.74,0.0
MYSURU,SARAGURU,June,2025,Rice,44,26027,22186,70370,68705,85.24,2304.99,0.0
MYSURU,SALIGRAMA,June,2025,Rice,50,38440,30464,96903,95728,79.25,3234.15,0.0
MYSURU,HEGGADADEVANKOTE,June,2025,Wheat,80,54258,45812,150585,147390,84.43,0.0,0.0
MYSURU,HUNSUR,June,2025,Wheat,115,89371,68493,224359,218701,76.64,0.0,0.0
MYSURU,KRISHNARAJANAGARA,June,2025,Wheat,42,39857,29142,90368,88951,73.12,0.0,0.0
MYSURU,MYSURU,June,2025,Wheat,329,300471,183021,650047,641887,60.91,0.0,0.0
MYSURU,NANJANGUD,June,2025,Wheat,133,113508,96519,308226,304298,85.03,0.0,0.0
MYSURU,PIRIYAPATNA,June,2025,Wheat,91,71463,59370,189365,187048,83.08,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,June,2025,Wheat,133,86678,69693,230414,226827,80.4,0.0,0.0
MYSURU,SARAGURU,June,2025,Wheat,44,26027,22186,70370,68705,85.24,0.0,0.0
MYSURU,SALIGRAMA,June,2025,Wheat,50,38440,30464,96903,95728,79.25,0.0,0.0
MYSURU,HEGGADADEVANKOTE,June,2025,Sugar,80,54258,45812,150585,147390,84.43,0.0,0.0
MYSURU,HUNSUR,June,2025,Sugar,115,89371,68493,224359,218701,76.64,0.0,0.0
MYSURU,KRISHNARAJANAGARA,June,2025,Sugar,42,39857,29142,90368,88951,73.12,0.0,0.0
MYSURU,MYSURU,June,2025,Sugar,329,300471,183021,650047,641887,60.91,0.0,0.0
MYSURU,NANJANGUD,June,2025,Sugar,133,113508,96519,308226,304298,85.03,0.0,0.0
MYSURU,PIRIYAPATNA,June,2025,Sugar,91,71463,59370,189365,187048,83.08,0.0,0.0
MYSURU,TIRUMAKUDALA-NARSIPUR,June,2025,Sugar,133,86678,69693,230414,226827,80.4,0.0,0.0
